"sample","strain","sex","letter","concordance"
"X.WSB.EiJxNOD.ShiLtJ.F1f0006","(WSB/EiJxNOD/ShiLtJ)F1","f","HD",0.999714656660627
"X.WSB.EiJxNOD.ShiLtJ.F1m0014","(WSB/EiJxNOD/ShiLtJ)F1","m","HD",0.999700543300013
"X.WSB.EiJxNZO.HILtJ.F1f14670","(WSB/EiJxNZO/HILtJ)F1","f","HE",0.999686363960368
"X.WSB.EiJxNZO.HILtJ.F1m14757","(WSB/EiJxNZO/HILtJ)F1","m","HE",0.999657583107433
"X.WSB.EiJxCAST.EiJ.F1f0131","(WSB/EiJxCAST/EiJ)F1","f","HF",0.99929645210849
"X.WSB.EiJxCAST.EiJ.F1m0150","(WSB/EiJxCAST/EiJ)F1","m","HF",0.998878214347351
"X.WSB.EiJxPWK.PhJ.F1f0284","(WSB/EiJxPWK/PhJ)F1","f","HG",0.997940104579306
"X.WSB.EiJxPWK.PhJ.F1m0276","(WSB/EiJxPWK/PhJ)F1","m","HG",0.999253184736245
"WSB.EiJf1007","WSB/EiJ","f","HH",0.999943101805095
"WSB.EiJf1007.1","WSB/EiJ","f","HH",0.999928900517604
"WSB.EiJf1007.2","WSB/EiJ","f","HH",0.999943053202546
"WSB.EiJf1007.3","WSB/EiJ","f","HH",0.99982900867781
"WSB.EiJm0470","WSB/EiJ","m","HH",0.999857354787173
"WSB.EiJm0993","WSB/EiJ","m","HH",0.999885913122843
"WSB.EiJm1345","WSB/EiJ","m","HH",0.999755385124538
"WSB.EiJm34780","WSB/EiJ","m","HH",0.999424642983595
