"sample","sex","resexed","strain"
"X.C57BL.6JxWSB.EiJ.F1m15714","m",FALSE,"(C57BL/6JxWSB/EiJ)F1"
"X.CAST.EiJx129S1.SvImJ.F1f012","f",FALSE,"(CAST/EiJx129S1/SvImJ)F1"
"X.CAST.EiJx129S1.SvImJ.F1m001","m",FALSE,"(CAST/EiJx129S1/SvImJ)F1"
"X.CAST.EiJxA.J.F1f002","f",FALSE,"(CAST/EiJxA/J)F1"
"X.CAST.EiJxA.J.F1f002.1","f",FALSE,"(CAST/EiJxA/J)F1"
"X.CAST.EiJxA.J.F1m005","m",FALSE,"(CAST/EiJxA/J)F1"
"X.CAST.EiJxC57BL.6J.F1m","m",FALSE,"(CAST/EiJxC57BL/6J)F1"
"X.CAST.EiJxC57BL.6J.F1m.1","m",FALSE,"(CAST/EiJxC57BL/6J)F1"
"X.CAST.EiJxNOD.ShiLtJ.F1f007","f",FALSE,"(CAST/EiJxNOD/ShiLtJ)F1"
"X.CAST.EiJxNOD.ShiLtJ.F1f007.1","f",FALSE,"(CAST/EiJxNOD/ShiLtJ)F1"
"X.CAST.EiJxNZO.HILtJ.F1f","f",FALSE,"(CAST/EiJxNZO/HILtJ)F1"
"X.CAST.EiJxNZO.HILtJ.F1f.1","f",FALSE,"(CAST/EiJxNZO/HILtJ)F1"
"X.CAST.EiJxNZO.HILtJ.F1m","m",FALSE,"(CAST/EiJxNZO/HILtJ)F1"
"X.CAST.EiJxNZO.HILtJ.F1m.1","m",FALSE,"(CAST/EiJxNZO/HILtJ)F1"
"X.CAST.EiJxPWK.PhJ.F10123","m",TRUE,"(CAST/EiJxPWK/PhJ)F1"
"X.CAST.EiJxPWK.PhJ.F1f0163","f",FALSE,"(CAST/EiJxPWK/PhJ)F1"
"X.CAST.EiJxWSB.EiJ.F1f0113","f",FALSE,"(CAST/EiJxWSB/EiJ)F1"
"X.CAST.EiJxWSB.EiJ.F1m0096","m",FALSE,"(CAST/EiJxWSB/EiJ)F1"
"X.NOD.ShiLtJx129S1.SvImJ.F1f0045","f",FALSE,"(NOD/ShiLtJx129S1/SvImJ)F1"
"X.NOD.ShiLtJx129S1.SvImJ.F1m0030","m",FALSE,"(NOD/ShiLtJx129S1/SvImJ)F1"
"X.NOD.ShiLtJx129S1.SvImJ.F1m0030.1","m",FALSE,"(NOD/ShiLtJx129S1/SvImJ)F1"
"X.NOD.ShiLtJxA.J.F1f0018","f",FALSE,"(NOD/ShiLtJxA/J)F1"
"X.NOD.ShiLtJxA.J.F1m15515","m",FALSE,"(NOD/ShiLtJxA/J)F1"
"X.NOD.ShiLtJxC57BL.6J.F1f0529","f",FALSE,"(NOD/ShiLtJxC57BL/6J)F1"
"X.NOD.ShiLtJxC57BL.6J.F1m0525","m",FALSE,"(NOD/ShiLtJxC57BL/6J)F1"
"X.NOD.ShiLtJxC57BL.6J.F1m0525.1","m",FALSE,"(NOD/ShiLtJxC57BL/6J)F1"
"X.NOD.ShiLtJxCAST.EiJ.F1m","m",FALSE,"(NOD/ShiLtJxCAST/EiJ)F1"
"X.NOD.ShiLtJxCAST.EiJ.F1m.1","m",FALSE,"(NOD/ShiLtJxCAST/EiJ)F1"
"X.NOD.ShiLtJxNZO.HILtJ.F1f0001","f",FALSE,"(NOD/ShiLtJxNZO/HILtJ)F1"
"X.NOD.ShiLtJxNZO.HILtJ.F1m0004","m",FALSE,"(NOD/ShiLtJxNZO/HILtJ)F1"
"X.NOD.ShiLtJxPWK.PhJ.F1m004","m",FALSE,"(NOD/ShiLtJxPWK/PhJ)F1"
"X.NOD.ShiLtJxWSB.EiJ.F1f0141","f",FALSE,"(NOD/ShiLtJxWSB/EiJ)F1"
"X.NOD.ShiLtJxWSB.EiJ.F1m0143","m",FALSE,"(NOD/ShiLtJxWSB/EiJ)F1"
"X.NZO.HILtJx129S1.SvImJ.F1f0015","f",FALSE,"(NZO/HILtJx129S1/SvImJ)F1"
"X.NZO.HILtJx129S1.SvImJ.F1m0013","m",FALSE,"(NZO/HILtJx129S1/SvImJ)F1"
"X.NZO.HILtJxA.J.F1f0023","f",FALSE,"(NZO/HILtJxA/J)F1"
"X.NZO.HILtJxA.J.F1m0016","m",FALSE,"(NZO/HILtJxA/J)F1"
"X.NZO.HILtJxA.J.F1m0016.1","m",FALSE,"(NZO/HILtJxA/J)F1"
"X.NZO.HILtJxC57BL.6J.F1f15684","f",FALSE,"(NZO/HILtJxC57BL/6J)F1"
"X.NZO.HILtJxC57BL.6J.F1m15682","m",FALSE,"(NZO/HILtJxC57BL/6J)F1"
"X.NZO.HILtJxNOD.ShiLtJ.F1f0042","f",FALSE,"(NZO/HILtJxNOD/ShiLtJ)F1"
"X.NZO.HILtJxNOD.ShiLtJ.F1m0036","m",FALSE,"(NZO/HILtJxNOD/ShiLtJ)F1"
"X.NZO.HILtJxWSB.EiJ.F1f15876","f",FALSE,"(NZO/HILtJxWSB/EiJ)F1"
"X.NZO.HILtJxWSB.EiJ.F1m15870","m",FALSE,"(NZO/HILtJxWSB/EiJ)F1"
"X.PWK.PhJx129S1.SvImJ.F1m0223","m",FALSE,"(PWK/PhJx129S1/SvImJ)F1"
"X.PWK.PhJxA.J.F1f15762","f",FALSE,"(PWK/PhJxA/J)F1"
"X.PWK.PhJxA.J.F1m15760","m",FALSE,"(PWK/PhJxA/J)F1"
"X.PWK.PhJxC57BL.6J.F1f5422","f",FALSE,"(PWK/PhJxC57BL/6J)F1"
"X.PWK.PhJxCAST.EiJ.F1f0168","f",FALSE,"(PWK/PhJxCAST/EiJ)F1"
"X.PWK.PhJxCAST.EiJ.F1m0267","m",FALSE,"(PWK/PhJxCAST/EiJ)F1"
"X.PWK.PhJxNOD.ShiLtJ.F1f001","f",FALSE,"(PWK/PhJxNOD/ShiLtJ)F1"
"X.PWK.PhJxNOD.ShiLtJ.F1f001.1","f",FALSE,"(PWK/PhJxNOD/ShiLtJ)F1"
"X.PWK.PhJxNOD.ShiLtJ.F1m006","m",FALSE,"(PWK/PhJxNOD/ShiLtJ)F1"
"X.PWK.PhJxNZO.HILtJ.F1f0007","f",FALSE,"(PWK/PhJxNZO/HILtJ)F1"
"X.PWK.PhJxNZO.HILtJ.F1f0007.1","f",FALSE,"(PWK/PhJxNZO/HILtJ)F1"
"X.PWK.PhJxNZO.HILtJ.F1m","m",FALSE,"(PWK/PhJxNZO/HILtJ)F1"
"X.PWK.PhJxNZO.HILtJ.F1m.1","m",FALSE,"(PWK/PhJxNZO/HILtJ)F1"
"X.PWK.PhJxWSB.EiJ.F1f0084","f",FALSE,"(PWK/PhJxWSB/EiJ)F1"
"X.PWK.PhJxWSB.EiJ.F1m0100","m",FALSE,"(PWK/PhJxWSB/EiJ)F1"
"X.WSB.EiJx129S1.SvImJ.F1f0004","f",FALSE,"(WSB/EiJx129S1/SvImJ)F1"
"X.WSB.EiJx129S1.SvImJ.F1m0008","m",FALSE,"(WSB/EiJx129S1/SvImJ)F1"
"X.WSB.EiJxA.J.F1f0017","f",FALSE,"(WSB/EiJxA/J)F1"
"X.WSB.EiJxC57BL.6J.F1f0038","f",FALSE,"(WSB/EiJxC57BL/6J)F1"
"X.WSB.EiJxC57BL.6J.F1m0040","m",FALSE,"(WSB/EiJxC57BL/6J)F1"
"X.WSB.EiJxCAST.EiJ.F1f0131","f",FALSE,"(WSB/EiJxCAST/EiJ)F1"
"X.WSB.EiJxCAST.EiJ.F1m0150","m",FALSE,"(WSB/EiJxCAST/EiJ)F1"
"X.WSB.EiJxNOD.ShiLtJ.F1f0006","f",FALSE,"(WSB/EiJxNOD/ShiLtJ)F1"
"X.WSB.EiJxNOD.ShiLtJ.F1m0014","m",FALSE,"(WSB/EiJxNOD/ShiLtJ)F1"
"X.WSB.EiJxNZO.HILtJ.F1f14670","f",FALSE,"(WSB/EiJxNZO/HILtJ)F1"
"X.WSB.EiJxNZO.HILtJ.F1m14757","m",FALSE,"(WSB/EiJxNZO/HILtJ)F1"
"X.WSB.EiJxPWK.PhJ.F1f0284","f",FALSE,"(WSB/EiJxPWK/PhJ)F1"
"X.WSB.EiJxPWK.PhJ.F1m0276","m",FALSE,"(WSB/EiJxPWK/PhJ)F1"
"X129S1.SvImJf","f",TRUE,"129S1/SvImJ"
"X129S1.SvImJf.1","f",TRUE,"129S1/SvImJ"
"X129S1.SvImJf0827","f",TRUE,"129S1/SvImJ"
"X129S1.SvImJf0827.1","f",FALSE,"129S1/SvImJ"
"X129S1.SvImJm","m",FALSE,"129S1/SvImJ"
"X129S1.SvImJm.1","m",FALSE,"129S1/SvImJ"
"X129S1.SvImJm1314","m",FALSE,"129S1/SvImJ"
"AEJ.GnLeJm7038","m",FALSE,"AEJ/GnLeJ"
"AK7m","m",FALSE,"AK7"
"AKR.Jm37588","m",FALSE,"AKR/J"
"ALR.LtJm34133","m",FALSE,"ALR/LtJ"
"ALS.LtJm34023","m",FALSE,"ALS/LtJ"
"AU8016m210","m",FALSE,"AU8016"
"AU8018f203","f",FALSE,"AU8018"
"BAG74u","m",TRUE,"BAG74u"
"BAG99","m",TRUE,"BAG99"
"BALB.cByJm","m",FALSE,"BALB/cByJ"
"BALB.cByJm35774","m",FALSE,"BALB/cByJ"
"BALB.cJm35393","m",FALSE,"BALB/cJ"
"BDP.Jm5472","m",FALSE,"BDP/J"
"BPH.2Jm38104","m",FALSE,"BPH/2J"
"BPL.1Jm38093","m",FALSE,"BPL/1J"
"BPN.3Jm33690","m",FALSE,"BPN/3J"
"BTBR.T...tf.Jm34451","m",FALSE,"BTBR T<+>tf/J"
"BUB.BnJm35560","m",FALSE,"BUB/BnJ"
"BXSB.MpJm31292","m",FALSE,"BXSB/MpJ"
"C3H.HeJm","m",FALSE,"C3H/HeJ"
"C3H.HeJm39336","m",FALSE,"C3H/HeJ"
"C57BL.10Jm36777","m",FALSE,"C57BL/10J"
"C57BL.10Jm36777.1","m",FALSE,"C57BL/10J"
"C57BL.6CRmep1","m",FALSE,"C57BL/6CR"
"C57BL.6NJm39418","m",FALSE,"C57BL/6NJ"
"C57BL.6NJm39418.1","m",FALSE,"C57BL/6NJ"
"C57BL.6NJm39418.2","m",FALSE,"C57BL/6NJ"
"C57BL.6Tcm13","m",FALSE,"C57BL/6Tc"
"C57BLKS.Jm35265","m",FALSE,"C57BLKS/J"
"C57BR.cdJm35328","m",FALSE,"C57BR/cdJ"
"C57L.Jm33687","m",FALSE,"C57L/J"
"C58.Jm35464","m",FALSE,"C58/J"
"CB17m","m",FALSE,"CB17"
"CBA.CaJm37635","m",FALSE,"CBA/CaJ"
"CBA.Jm38121","m",FALSE,"CBA/J"
"CE.Jm36311","m",FALSE,"CE/J"
"CHMU.LeJm802","m",FALSE,"CHMU/LeJ"
"CIMm25","m",FALSE,"CIM"
"CZECHI.EiJm35020","m",FALSE,"CZECHI/EiJ"
"CZECHII.EiJm35826","m",FALSE,"CZECHII/EiJ"
"DBA.1Jm39629","m",FALSE,"DBA/1J"
"DBA.1LacJm35816","m",FALSE,"DBA/1LacJ"
"DBA.2Jm35394","m",FALSE,"DBA/2J"
"DBA.2Jm37872","m",FALSE,"DBA/2J"
"DDKm","m",FALSE,"DDK"
"DDY.Jclm32895","m",FALSE,"DDY/Jcl"
"DLS.LeJm31051","m",FALSE,"DLS/LeJ"
"E14.Esm","m",FALSE,"E14/Es"
"E14mEs","m",FALSE,"E14"
"EL.SuzSeyFrkJm33428","m",FALSE,"EL/SuzSeyFrkJ"
"FVB.M","m",FALSE,"FVB/NJ"
"FVB.M.1","m",FALSE,"FVB/NJ"
"FVB.M.2","m",FALSE,"FVB/NJ"
"FVB.NJm35257","m",FALSE,"FVB/NJ"
"FVB.NJm37624","m",FALSE,"FVB/NJ"
"FVBf","f",FALSE,"FVB/NJ"
"FVBf.1","f",FALSE,"FVB/NJ"
"H3f3aSA.Neo.GFP.fl..m710","m",FALSE,"H3f3aSA-Neo-GFP-fl/+"
"H3f3aSA.Neo.GFP.fl..m710.1","m",FALSE,"H3f3aSA-Neo-GFP-fl/+"
"H3f3aSA.Neo.GFP.fl..m710.2","m",FALSE,"H3f3aSA-Neo-GFP-fl/+"
"H3f3bSA.Neo.tdTomato.fl.SA.Neo.tdTomato.flm737","m",FALSE,"H3f3bSA-Neo-tdTomato-fl/SA-Neo-tdTomato-fl"
"H3f3bSA.Neo.tdTomato.fl.SA.Neo.tdTomato.flm737.1","m",FALSE,"H3f3bSA-Neo-tdTomato-fl/SA-Neo-tdTomato-fl"
"H3f3bSA.Neo.tdTomato.fl.SA.Neo.tdTomato.flm737.2","m",FALSE,"H3f3bSA-Neo-tdTomato-fl/SA-Neo-tdTomato-fl"
"HPG.BmJm33023","m",FALSE,"HPG/B"
"I.LnJm38114","m",FALSE,"I/LnJ"
"ICR.HaJm39524","m",FALSE,"ICR/HaJ"
"IL16188f3006","f",FALSE,"IL16188"
"IL16211m3007","m",FALSE,"IL16211"
"IN13","m",TRUE,"IN13"
"IN25","m",TRUE,"IN25"
"IN34","m",TRUE,"IN34"
"IN40","f",TRUE,"IN40"
"IN47","m",TRUE,"IN47"
"IN54","f",TRUE,"IN54"
"JE.LeJm5037","m",FALSE,"JE/LeJ"
"JF1.Msm35243","m",FALSE,"()F1/Ms"
"KK.HlJm31930","m",FALSE,"KK/HlJ"
"KOMP.cell.DNA.JM8","m",TRUE,"KOMP cell DNA JM8"
"KOMP.cell.DNA.JM8.1","m",FALSE,"KOMP cell DNA JM8"
"KOMP.cell.DNA.JM8.2","m",FALSE,"KOMP cell DNA JM8"
"LEWES.EiJm35345","m",FALSE,"LEWES/EiJ"
"LG.Jm35798","m",FALSE,"LG/J"
"LP.Jm35861","m",FALSE,"LP/J"
"LT.SvEiJm38177","m",FALSE,"LT/SvEiJ"
"MA.MyJm39179","m",FALSE,"MA/MyJ"
"MMRRC11172m42905","m",FALSE,"MMRRC11172"
"MMRRC11470m40236","m",FALSE,"MMRRC11470"
"MMRRC11629m44655","m",FALSE,"MMRRC11629"
"MMRRC11949m42134","m",FALSE,"MMRRC11949"
"MMRRC16m47368","m",FALSE,"MMRRC16"
"MMRRC31871m41994","m",FALSE,"MMRRC31871"
"MMRRC34759m45777","m",FALSE,"MMRRC34759"
"MMRRC421m41450","m",FALSE,"MMRRC421"
"MOLF.EiJm35804","m",FALSE,"MOLF/EiJ"
"MRL.MpJm39570","m",FALSE,"MRL/MpJ"
"MSM.Msm35830","m",FALSE,"MSM/Ms"
"MWN1026","m",FALSE,"MWN1026"
"MWN1030","f",TRUE,"MWN1030"
"MWN1194","m",FALSE,"MWN1194"
"MWN1198","m",FALSE,"MWN1198"
"MWN1214u","f",TRUE,"MWN1214u"
"MWN1279","m",FALSE,"MWN1279"
"MWN1287","f",TRUE,"MWN1287"
"Nestin.....Cre.m","f",TRUE,"Nestin -/- Cre+"
"NON.ShiLtJm38111","m",FALSE,"NON/ShiLtJ"
"NOR.LtJm32299","m",FALSE,"NOR/LtJ"
"NU.Jm39139","m",FALSE,"NU/J"
"NZB.BlNJm38047","m",FALSE,"NZB/BlNJ"
"NZL.LtJm37610","m",FALSE,"NZL/LtJ"
"NZW.LacJm36023","m",FALSE,"NZW/LacJ"
"Oct4.GFP.CreERT2Tg.Tgm824","m",FALSE,"Oct4-GFP-CreERT2Tg/Tg"
"Oct4.GFP.CreERT2Tg.Tgm824.1","m",FALSE,"Oct4-GFP-CreERT2Tg/Tg"
"Oct4.GFP.CreERT2Tg.Tgm824.2","m",FALSE,"Oct4-GFP-CreERT2Tg/Tg"
"OR3252m495","m",FALSE,"OR3252"
"OR867f470","f",FALSE,"OR867"
"P.Jm34080","m",FALSE,"P/J"
"PERA.EiJm34215","m",FALSE,"PERA/EiJ"
"PERC.EiJm35605","m",FALSE,"PERC/EiJ"
"PL.Jm37638","m",FALSE,"PL/J"
"PWDm","m",FALSE,"PWD/PhJ"
"R26Flpe.Flpem997","f",TRUE,"R26Flpe/Flpe"
"R26Flpe.Flpem997.1","f",TRUE,"R26Flpe/Flpe"
"R26Flpe.Flpem997.2","f",TRUE,"R26Flpe/Flpe"
"R26Luciferase.Luciferasem941","m",FALSE,"R26Luciferase/Luciferase"
"R26Luciferase.Luciferasem941.1","m",FALSE,"R26Luciferase/Luciferase"
"R26Luciferase.Luciferasem941.2","m",FALSE,"R26Luciferase/Luciferase"
"R26PhiC31.PhiC31m832","m",FALSE,"R26PhiC31/PhiC31"
"R26PhiC31.PhiC31m832.1","m",FALSE,"R26PhiC31/PhiC31"
"R26PhiC31.PhiC31m832.2","m",FALSE,"R26PhiC31/PhiC31"
"RBA.DnJm91012","m",FALSE,"RBA/DnJ"
"RBB.DnJm6588","m",FALSE,"RBB/DnJ"
"RBF.DnJm33496","m",FALSE,"RBF/DnJ"
"RF.Jm34970","m",FALSE,"RF/J"
"RIIIS.Jm39169","m",FALSE,"RIIIS/J"
"RSV.LeJm5009","m",FALSE,"RSV/LeJ"
"SB.LeJm34590","m",FALSE,"SB/LeJ"
"SEA.GnJm38118","m",FALSE,"SEA/GnJ"
"SEC.1ReJm5209","m",FALSE,"SEC/1ReJ"
"SF.CamEiJm90478","m",FALSE,"SF/Ca"
"SH1.LeJm35135","m",FALSE,"SH1/LeJ"
"SJL.Bmm32832","m",FALSE,"SJL/B"
"SJL.Jm35807","m",FALSE,"SJL/J"
"SKIVE.EiJm35703","m",FALSE,"SKIVE/EiJ"
"SM.Jm38083","m",FALSE,"SM/J"
"SOD1.EiJm90734","m",FALSE,"SOD1/EiJ"
"Sox2.CreTg..Tg.m1089","m",FALSE,"Sox2-CreTg/(Tg)"
"Sox2.CreTg..Tg.m1089.1","m",FALSE,"Sox2-CreTg/(Tg)"
"Sox2.CreTg..Tg.m1089.2","m",FALSE,"Sox2-CreTg/(Tg)"
"SPRET.EiJm33913","m",FALSE,"SPRET/EiJ"
"SSL.LeJm30779","m",FALSE,"SSL/LeJ"
"ST.bJm33356","m",FALSE,"ST/bJ"
"STX.Lem9451","m",FALSE,"STX/Le"
"SWR.Jm38041","m",FALSE,"SWR/J"
"TC1m","m",FALSE,"TC1"
"Tgln.....Cre.m","f",TRUE,"Tgln -/- Cre+"
"TIRANO.EiJm35694","m",FALSE,"TIRANO/EiJ"
"TSJ.LeJm7102","m",FALSE,"TSJ/LeJ"
"W4129m","m",FALSE,"W4129"
"WLA.Pasm","m",FALSE,"WLA/Pas"
"WMP.Pasm90653","m",FALSE,"WMP/Pas"
"X.BALB.cByJxC57BL.6J.F1f31283","m",TRUE,"(BALB/cByJxC57BL/6J)F1"
"X.BALB.cJxC57BL.6J.F1f36006","m",TRUE,"(BALB/cJxC57BL/6J)F1"
"X.C57BL.6JxSJL.J.F1m35973","m",FALSE,"(C57BL/6JxSJL/J)F1"
"X.DBA.2JxC57BL.6J.F1m","m",FALSE,"(DBA/2JxC57BL/6J)F1"
"X.FVB.NJxC57BL.6J.F1m","m",FALSE,"(FVB/NJxC57BL/6J)F1"
"X017.FH.F1","m",TRUE,"(X017/FH)F1"
"X124S4.SvJaeJm39510","m",FALSE,"124S4/SvJaeJ"
"X129P1.ReJm35858","m",FALSE,"129P1/ReJ"
"X129P2.OlaHsdm","m",FALSE,"129P2/OlaHsd"
"X129P2.OlaHsdm.1","m",FALSE,"129P2/OlaHsd"
"X129P3.Jm37959","m",FALSE,"129P3/J"
"X129S1.SvlmJm35370","m",FALSE,"129S1/SvlmJ"
"X129S2m","m",FALSE,"129S2"
"X129S6.SvEvTacm","m",FALSE,"129S6/SvEvTac"
"X129S6.SvEvTacm.1","m",FALSE,"129S6/SvEvTac"
"X129S7m","m",FALSE,"129S7"
"X129S7m.1","m",FALSE,"129S7"
"X129T2.SvEmsJm37318","m",FALSE,"129T2/SvE"
"X129X1.S1m","m",FALSE,"129X1/S1"
"X129X1.SvJm35008","m",FALSE,"129X1/SvJ"
"X129X1.SvJm35008.1","m",FALSE,"129X1/SvJ"
"X34.HG.F1","m",TRUE,"(X34/HG)F1"
"X36.PG.F1","m",TRUE,"(X36/PG)F1"
"XBSm","m",FALSE,"XBS"
