Index	Name	ID	Gender	Plate	Well	Group	Parent1	Parent2	Replicate	SentrixPosition
55	NIH_TVD_YS-G7	NIH_TVD_YS-G7	Unknown	49002	G7					10004312009_R02C01
56	NIH_TVD_YS-H7	NIH_TVD_YS-H7	Unknown	49002	H7					10004312009_R02C02
57	NIH_TVD_YS-A8	NIH_TVD_YS-A8	Unknown	49002	A8					10004312001_R04C01
58	NIH_TVD_YS-B8	NIH_TVD_YS-B8	Unknown	49002	B8					10004312001_R04C02
59	NIH_TVD_YS-C8	NIH_TVD_YS-C8	Unknown	49002	C8					10004312003_R04C01
60	NIH_TVD_YS-D8	NIH_TVD_YS-D8	Unknown	49002	D8					10004312003_R04C02
61	NIH_TVD_YS-E8	NIH_TVD_YS-E8	Unknown	49002	E8					10004312007_R04C01
62	NIH_TVD_YS-F8	NIH_TVD_YS-F8	Unknown	49002	F8					10004312007_R04C02
63	NIH_TVD_YS-G8	NIH_TVD_YS-G8	Unknown	49002	G8					10004312009_R04C01
64	NIH_TVD_YS-H8	NIH_TVD_YS-H8	Unknown	49002	H8					10004312009_R04C02
65	NIH_TVD_YS-A9	NIH_TVD_YS-A9	Unknown	49002	A9					10004312001_R06C01
66	NIH_TVD_YS-B9	NIH_TVD_YS-B9	Unknown	49002	B9					10004312001_R06C02
67	NIH_TVD_YS-C9	NIH_TVD_YS-C9	Unknown	49002	C9					10004312003_R06C01
68	NIH_TVD_YS-D9	NIH_TVD_YS-D9	Unknown	49002	D9					10004312003_R06C02
69	NIH_TVD_YS-E9	NIH_TVD_YS-E9	Unknown	49002	E9					10004312007_R06C01
70	NIH_TVD_YS-F9	NIH_TVD_YS-F9	Unknown	49002	F9					10004312007_R06C02
71	NIH_TVD_YS-G9	NIH_TVD_YS-G9	Unknown	49002	G9					10004312009_R06C01
72	NIH_TVD_YS-H9	NIH_TVD_YS-H9	Unknown	49002	H9					10004312009_R06C02
73	NIH_TVD_YS-A10	NIH_TVD_YS-A10	Unknown	49002	A10					10004312001_R08C01
74	NIH_TVD_YS-B10	NIH_TVD_YS-B10	Unknown	49002	B10					10004312001_R08C02
75	NIH_TVD_YS-C10	NIH_TVD_YS-C10	Unknown	49002	C10					10004312003_R08C01
76	NIH_TVD_YS-D10	NIH_TVD_YS-D10	Unknown	49002	D10					10004312003_R08C02
77	NIH_TVD_YS-E10	NIH_TVD_YS-E10	Unknown	49002	E10					10004312007_R08C01
78	NIH_TVD_YS-F10	NIH_TVD_YS-F10	Unknown	49002	F10					10004312007_R08C02
79	NIH_TVD_YS-G10	NIH_TVD_YS-G10	Unknown	49002	G10					10004312009_R08C01
80	NIH_TVD_YS-H10	NIH_TVD_YS-H10	Unknown	49002	H10					10004312009_R08C02
81	NIH_TVD_YS-A11	NIH_TVD_YS-A11	Unknown	49002	A11					10004312001_R10C01
82	NIH_TVD_YS-B11	NIH_TVD_YS-B11	Unknown	49002	B11					10004312001_R10C02
83	NIH_TVD_YS-C11	NIH_TVD_YS-C11	Unknown	49002	C11					10004312003_R10C01
84	NIH_TVD_YS-D11	NIH_TVD_YS-D11	Unknown	49002	D11					10004312003_R10C02
85	NIH_TVD_YS-E11	NIH_TVD_YS-E11	Unknown	49002	E11					10004312007_R10C01
86	NIH_TVD_YS-F11	NIH_TVD_YS-F11	Unknown	49002	F11					10004312007_R10C02
87	NIH_TVD_YS-G11	NIH_TVD_YS-G11	Unknown	49002	G11					10004312009_R10C01
88	NIH_TVD_YS-H11	NIH_TVD_YS-H11	Unknown	49002	H11					10004312009_R10C02
89	NIH_TVD_YS-A12	NIH_TVD_YS-A12	Unknown	49002	A12					10004312001_R12C01
90	NIH_TVD_YS-B12	NIH_TVD_YS-B12	Unknown	49002	B12					10004312001_R12C02
91	NIH_TVD_YS-C12	NIH_TVD_YS-C12	Unknown	49002	C12					10004312003_R12C01
92	NIH_TVD_YS-D12	NIH_TVD_YS-D12	Unknown	49002	D12					10004312003_R12C02
93	NIH_TVD_YS-E12	NIH_TVD_YS-E12	Unknown	49002	E12					10004312007_R12C01
94	NIH_TVD_YS-F12	NIH_TVD_YS-F12	Unknown	49002	F12					10004312007_R12C02
95	NIH_TVD_YS-G12	NIH_TVD_YS-G12	Unknown	49002	G12					10004312009_R12C01
96	NIH_TVD_YS-H12	NIH_TVD_YS-H12	Unknown	49002	H12					10004312009_R12C02
97	129P1/ReJm35858	129P1/ReJm35858	Unknown	49003	A1					10004312010_R01C01
98	C57BL/6CRmep1	C57BL/6CRmep1	Unknown	49003	B1					10004312010_R01C02
99	SJL/Bmm32832	SJL/Bmm32832	Unknown	49003	C1					10004312012_R01C01
100	PAE_041_HG_Y_X4	PAE_041_HG_Y_X4	Unknown	49003	D1					10004312012_R01C02
101	UM2_FB_TEH	UM2_FB_TEH	Unknown	49003	E1					10004312015_R01C01
102	JAXMP_spt_UNK_SP120383-K	JAXMP_spt_UNK_SP120383-K	Unknown	49003	F1					10004312015_R01C02
103	JAXMP_caroli_UNK_BC21325	JAXMP_caroli_UNK_BC21325	Unknown	49003	G1					10004312023_R01C01
104	RU:SAR_MUSC:40_298_Mu	RU:SAR_MUSC:40_298_Mu	Unknown	49003	H1					10004312023_R01C02
105	129P2/OlaHsdm	129P2/OlaHsdm	Unknown	49003	A2					10004312010_R03C01
106	C57BL/6NJm39418	C57BL/6NJm39418	Unknown	49003	B2					10004312010_R03C02
107	SJL/Jm35807	SJL/Jm35807	Unknown	49003	C2					10004312012_R03C01
108	PAE_033_HG_Y_p2	PAE_033_HG_Y_p2	Unknown	49003	D2					10004312012_R03C02
109	UM2_FB_KAK	UM2_FB_KAK	Male	49003	E2					10004312015_R03C01
110	JAXMP_dom_CH_PO218594-S	JAXMP_dom_CH_PO218594-S	Unknown	49003	F2					10004312015_R03C02
111	JAXMP_cptak_TH_BC21317	JAXMP_cptak_TH_BC21317	Unknown	49003	G2					10004312023_R03C01
112	Yu2097m	Yu2097m	Unknown	49003	H2					10004312023_R03C02
113	129P3/Jm37959	129P3/Jm37959	Unknown	49003	A3					10004312010_R05C01
114	C57BLKS/Jm35265	C57BLKS/Jm35265	Unknown	49003	B3					10004312010_R05C02
115	BALB/cByJm	BALB/cByJm	Unknown	49003	C3					10004312012_R05C01
116	PAE_041_HG_E_466	PAE_041_HG_E_466	Unknown	49003	D3					10004312012_R05C02
117	FAM	FAM	Unknown	49003	E3					10004312015_R05C01
118	JAXMP_dom_CH_PO221674-S	JAXMP_dom_CH_PO221674-S	Unknown	49003	F3					10004312015_R05C02
119	JAXMP_minu_KE_BC24339	JAXMP_minu_KE_BC24339	Unknown	49003	G3					10004312023_R05C01
120	Yu2113m	Yu2113m	Unknown	49003	H3					10004312023_R05C02
121	129S4/SvJaeJm39510	129S4/SvJaeJm39510	Unknown	49003	A4					10004312010_R07C01
122	DBA/1Jm39629	DBA/1Jm39629	Unknown	49003	B4					10004312010_R07C02
123	BALB/cJm35393	BALB/cJm35393	Unknown	49003	C4					10004312012_R07C01
124	PAE_041_HG_E_458	PAE_041_HG_E_458	Unknown	49003	D4					10004312012_R07C02
125	MSM/Msm35992	MSM/Msm35992	Unknown	49003	E4					10004312015_R07C01
126	JAXMP_dom_CH_PO221452-S	JAXMP_dom_CH_PO221452-S	Unknown	49003	F4					10004312015_R07C02
127	JAXMP_minu_KE_BC24327	JAXMP_minu_KE_BC24327	Unknown	49003	G4					10004312023_R07C01
128	IN13	IN13	Unknown	49003	H4					10004312023_R07C02
129	129S5/SvEvBrd	129S5/SvEvBrd	Unknown	49003	A5					10004312010_R09C01
130	DBA/1LacJm35816	DBA/1LacJm35816	Unknown	49003	B5					10004312010_R09C02
131	C57BL/6Tcmep14	C57BL/6Tcmep14	Unknown	49003	C5					10004312012_R09C01
